,AphiaID,scientificname,valid_name,valid_AphiaID,kingdom,phylum,class,order,family,genus
146,119962,Boreomysis arctica,Boreomysis arctica,119962,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Boreomysis
147,523706,Boreoscala greenlandica,Boreoscala greenlandica,523706,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Boreoscala
148,125576,Bothidae,Bothidae,125576,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,NA
149,103862,Botryllus schlosseri,Botryllus schlosseri,103862,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botryllus
150,1803,Brachiopoda,Brachiopoda,1803,Animalia,Brachiopoda,NA,NA,NA,NA
151,137697,Brachioteuthis,Brachioteuthis,137697,Animalia,Mollusca,Cephalopoda,Oegopsida,Brachioteuthidae,Brachioteuthis
152,106673,Brachyura,Brachyura,106673,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA
153,129289,Brada,Brada,129289,Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Brada
154,130095,Brada granulosa,Brada granulosa,130095,Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Brada
155,130097,Brada inhabilis,Brada inhabilis,130097,Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Brada
156,130099,Brada villosa,Bradabyssa villosa,1355594,Animalia,Annelida,Polychaeta,Terebellida,Flabelligeridae,Brada
157,126783,Brama brama,Brama brama,126783,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,Brama
158,1069,Branchiopoda,Branchiopoda,1069,Animalia,Arthropoda,Branchiopoda,NA,NA,NA
159,124404,Brisaster fragilis,Brisaster fragilis,124404,Animalia,Echinodermata,Echinoidea,Spatangoida,Schizasteridae,Brisaster
160,124373,Brissopsis lyrifera,Brissopsis lyrifera,124373,Animalia,Echinodermata,Echinoidea,Spatangoida,Brissidae,Brissopsis
161,126447,Brosme brosme,Brosme brosme,126447,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Brosme
162,146142,Bryozoa,Bryozoa,146142,Animalia,Bryozoa,NA,NA,NA,NA
163,149,Buccinidae,Buccinidae,149,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,NA
164,137701,Buccinum,Buccinum,137701,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum
165,138859,Buccinum belcheri,Buccinum belcheri,138859,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum
166,160141,Buccinum fragile,Buccinum fragile,160141,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum
167,138864,Buccinum glaciale,Buccinum glaciale,138864,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum
168,138866,Buccinum hydrophanum,Buccinum hydrophanum,138866,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum
169,160129,Buccinum polaris,Buccinum polare,138873,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum
170,138878,Buccinum undatum,Buccinum undatum,138878,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum
171,126872,Buenia jeffreysii,Buenia jeffreysii,126872,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Buenia
